English,Bengali
Is there another way to get there?,ওখানে যাওয়ার আর কোন রাস্তা আছে?
Italy is a very beautiful country.,ইতালি খুব সুন্দর দেশ।
My father is always getting angry.,আমার বাবা সবসময় রেগে যান।
My father is very good at fishing.,আমার বাবা মাছ ধরাতে খুব ভাল।
My mother can play golf very well.,আমার মা খুব ভাল গলফ খেলতে পারে।
My mother knows how to make cakes.,আমার মা জানে কিভাবে কেক বানাতে হয়।
My name was omitted from the list.,তালিকাটি থেকে আমার নামটা বাদ গেছে।
My neighbor's name is Tom Jackson.,আমার প্রতিবেশীর নাম টম জ্যাকসন।
She doesn't want to talk about it.,ইনি এই বিষয় কথা বলতে চান না।
She went to Paris to see her aunt.,সে প্যারিস গেছে তার কাকিমার সাথে দেখা করতে।
The plane arrived exactly at nine.,বিমানটি ঠিক নটার সময় পৌছাল।
The police warned us to keep back.,পুলিশ আমাদের পেছনে যেতে আদেশ দিল।
This theory is very controversial.,এই তত্বটি বিতর্কিত।
This train stops at every station.,ট্রেনটা সব স্টেশনে থামে।
Tom certainly is good at baseball.,টম বেসবল খেলায় সত্যিই ভালো।
Tom has learned a valuable lesson.,টম মূল্যবান শিক্ষা পেয়েছে।
Tom is staying with his relatives.,টম ওর আত্বীয়দের সাথে থাকছে।
Tom kept me waiting all afternoon.,টম আমাকে সারা দুপুর অপেক্ষা করিয়ে রেখেছিল।
We're going to stay at home today.,আমরা আজ বাড়িতেই থাকব।
What do you think I've been doing?,তোমার কি মনে হয় আমি কি করছিলাম?
When is the next flight to Boston?,বস্টন যাওয়ার পরের ফ্লাইটটা কখন?
Where can I buy a shirt like that?,ওই ধরনের একটা জামা কোথা থেকে কিনতে পারব?
Would you like something to drink?,তুমি কি কিছু খাবে?
You may choose whichever you want.,তোমার যেটা ইচ্ছা সেটা বেছে নিতে পার।
Algebra is a branch of mathematics.,বীজগণিত গণিতের একটা শাখা।
Bangkok is the capital of Thailand.,ব্যাঙকক থাইল্যান্ডের রাজধানী।
"Could you give me the bill, please?",অনুগ্রহ করে বিলটি দেবেন?
Do you mind my sitting next to you?,আমি তোমার পাশে বসলে কিছু মনে করবে?
Do you understand what he's saying?,উনি যা বলছেন তুমি কি তা বুঝতে পারছো?
Do you want to eat noodles or rice?,তুমি কি নুডলস খেতে চাও না ভাত খেতে চাও?
Everett spoke for almost two hours.,এভারেট প্রায় দু ঘন্টা ধরে কথা বলেছিল।
How can I get to the train station?,আমি ট্রেন স্টেশনে কিভাবে যাব?
How can I get to the zoo from here?,আমি এখান থেকে চিড়িয়াখানায় কিভাবে যাব?
Humans can't see ultraviolet light.,মানুষরা অতিবেগুনী রশ্মিকে দেখতে পায় না।
I used to write songs all the time.,আমি সবসময় গান লিখতাম।
I want to get off at the next stop.,আমি পরের স্টপে নামতে চাই।
I'm looking for a gift for my wife.,আমি আমার স্ত্রীএর জন্য একটা গিফট খুজছি।
I've been hoping you would drop in.,আমি ভাবছিলাম তুমি এসে উপস্থিত হবে।
"If I don't do it now, I never will.","আমি যদি এটা এখন না করি, তো কখনই করবো না।"
It's been raining since last night.,কাল রাত থেকে বৃষ্টি পড়ছে।
My hobby is collecting old bottles.,পুরানো বোতল জমা করা আমার নেশা।
Nowadays nobody believes in ghosts.,এখনকার দিনে কেউই ভুতে বিশ্বাস করে না।
Please accept my sincere apologies.,অনুগ্রহ করে আমার আন্তরিক ক্ষমাপ্রার্থনা স্বীকার করবেন।
Please deposit the money in a bank.,অনুগ্রহ করে টাকাটা ব্যাঙ্কে জমা করে দিন।
She accompanied me to the hospital.,ও আমার সঙ্গে হাসপাতালে গেছিল।
She folded her handkerchief neatly.,উনি ওনার রুমালটা পরিপাটি করে ভাঁজ করলেন।
She is capable of teaching English.,উনি ইংরাজি পড়াতে সক্ষম।
The market is next to the pharmacy.,বাজারটা ডাক্তারখানার পাশে।
The soldiers occupied the building.,সৈন্য বাড়িটাকে দখল করলো।
They say this old house is haunted.,সবাই বলে যে এই পুরানো বাড়িটায় ভুত আছে।
Today is the hottest day this year.,আজ বছরের সব থেকে গরম দিন।
Tom could see that Mary was crying.,টম দেখতে পেলো যে মেরি কাঁদছে।
Tom followed Mary out of the house.,টম মেরির পেছনে পেছনে বাড়ির বাইরে গেল।
Tom held his breath for one minute.,টম এক মিনিট ধরে তার নিশ্বাস আটকে রাখলো।
"Unfortunately, it rained yesterday.",দুর্ভাগ্যবশত গতকাল বৃষ্টি হয়েছিলো।
"Waiter, please bring me some water.","ওয়েটার, আমার জন্য একটু জল এনো।"
We would like to stay here tonight.,আমরা এখানে আজ রাতের জন্য থাকতে চাই।
We're desperate to find a solution.,আমরা একটি সমাধান খোঁজার জন্য মরিয়া হয়ে আছি।
What language is spoken in America?,আমেরিকাতে কোন ভাষায় কথা বলা হয়?
What time do you usually go to bed?,তুমি এমনিতে কটার সময় ঘুমাতে যাও?
Where's the entrance to the museum?,জাদুঘরে ঢোকার রাস্তাটি কোথায়?
Wolves won't usually attack people.,নেকড়েরা সাধারণত মানুষদের আক্রমণ করে না।
About thirty villagers were injured.,প্রায় তিরিশজন গ্রামবাসী আহত হয়েছেন।
Another possibility occurred to Tom.,টমের আরেকটি সম্ভাবনার কথা মনে পড়ল।
Arabic is a very important language.,আরবী খুব গুরুত্বপূর্ণ ভাষা।
Does the room have air conditioning?,এই ঘরে এসি আছে?
He spent the evening reading a book.,ও সন্ধ্যেবেলা বই পড়ে কাটায়।
He stuck the broken pieces together.,উনি ভাঙ্গা টুকরোগুলো জোড়া লাগালেন।
How can I get to the police station?,আমি পুলিশ স্টেশনে কিভাবে যাব?
I am staying at a hotel in New York.,আমি নিউ ইয়র্কে একটা হোটেলে রয়েছি।
I got up at six-thirty this morning.,আমি আজ সকাল ছটা তিরিশে উঠেছি।
I have a tattoo on my left shoulder.,আমার বাঁ কাঁধে একটা উল্কি আছে।
I lost my key somewhere around here.,আমি এই কাছাকাছির মধ্যেই কোথাও আমার চাবি হারিয়ে ফেলেছি।
I must've lost my key along the way.,আমি নিশ্চই আমার চাবিটা রাস্তায় হারিয়ে ফেলেছি।
I think Tom is Mary's older brother.,আমার মনে হয় টম মেরির বড়ো ভাই।
I used to be able to play that song.,আমি ওই গানটা বাজাতে পারতাম।
I used to be able to sing that song.,আমি ওই গানটা গাইতে পারতাম।
I'm getting off at the next station.,আমি পরের স্টেশনে নেমে যাচ্ছি।
I'm going to study French next year.,আমি পরের বছর ফরাসি শিখবো।
Let's listen to what Tom has to say.,টমের কি বলার আছে শোনা যাক।
Noodles are usually made from wheat.,নুডলস সাধারণত ময়দা দিয়ে তৈরি হয়।
Patience is essential for a teacher.,একজন শিক্ষকের জন্য ধৈর্য্য অত্যাবশ্যক।
Refrigerators help to preserve food.,রেফ্রিজারেটর খাবার সংরক্ষণে সাহায্য করে।
The audience was mostly businessmen.,দর্শকদের মধ্যে বেশিরভাগই ব্যবসায়ী ছিলো।
The soldiers surrounded the village.,সৈন্যরা গ্রামটাকে ঘিরে ফেললো।
The village I live in is very small.,আমি যে গ্রামে থাকি সেটা খুব ছোটো।
Tom Jackson has written three books.,টম জ্যাকসন তিনটে বই লিখেছেন।
Tom almost forgot about the meeting.,টম মিটিঙ্গের কথাটা প্রায় ভুলেই গেছিলো।
Tom certainly plays the guitar well.,টম গীটারটা সত্যিই খুব ভালো বাজায়।
Tom has written more than 300 songs.,টম ৩০০র ও বেশি গান লিখেছে।
Tom reluctantly went to the dentist.,অনিচ্ছা সত্বেও টম দাঁতের ডাক্তারের কাছে গেলো।
Tom seems to be listening carefully.,টম খুব মন দিয়ে শুনছে বলে মনে হচ্ছে।
Turn right at the next intersection.,পরের মোড়টায় ডানদিকে বেঁকে যাবেন।
We can't sleep because of the noise.,আওয়াজের জন্য আমরা ঘুমাতে পারছি না।
What time does the dining room open?,খাবার ঘরটা কখন খোলে?
What time does the next train leave?,পরের ট্রেনটা কটার সময় ছাড়ে?
When did you begin studying English?,তুমি ইংরাজি পড়া কবে থেকে শুরু করলে?
Would you like to come out and play?,বাইরে খেলতে যাবে?
"Do you speak German? ""No, I don't.""","তুমি কি জার্মান বলতে পারো? ""না, আমি পারি না।"""
Any student can answer that question.,যে কোনো ছাত্রই ওই প্রশ্নের উত্তর দিতে পারে।
Could you take me to the Grand Hotel?,আমাকে কি গ্রান্ড হোটেলে নিয়ে যেতে পারবেন?
Do you understand what I want to say?,আমি কী বলতে চাইছি তুমি বুঝতে পারছো?
He doesn't eat anything except fruit.,সে ফল ছাড়া অন্য কিছু খায় না।
His dog follows him wherever he goes.,"তিনি যেখানে যেতেন, তাঁর কুকুর তাঁর পছনে পেছনে যেত।"
How can I get to the hospital by bus?,আমি বাসে করে হাসপাতালে কিভাবে যাব?
How much does it cost for one person?,একজনের জন্য কত টাকা লাগবে?
I bought this medicine for my father.,এই অষুধটা আমি আমার বাবার জন্য কিনেছি।
I can't tell one twin from the other.,আমি একজন জমজের থেকে আর একজনকে আলাদা করে চিনতে পারি না।
I do not want to reply to his letter.,আমি এই চিঠিটার উত্তর দিতে চাই না।
I don't think we'll have enough time.,আমার মনে হয় না আমরা যথেষ্ট সময় পাবো।
I don't want Tom to see me like that.,আমি চাই না টম আমাকে ওই অবস্থায় দেখুক।
I don't want Tom to see me like this.,আমি চাই না টম আমাকে এই অবস্থায় দেখুক।
I know that we still love each other.,আমি জানি আমরা একে অপরকে এখনো ভালোবাসি।
I really don't want to eat right now.,আমি সত্যিই এখন খেতে চাই না।
I worked as a waiter for three years.,আমি ওয়েটার হিসাবে তিন বছর কাজ করেছি।
I would like an air-conditioned room.,আমার একটী শীততাপ নিয়ন্ত্রিত ঘর চাই।
I'll return to Australia in two days.,আমি দুদিনে অস্ট্রেলিয়া ফিরে যাব।
It has happened at least three times.,এরকম অন্তত তিনবার ঘটেছে।
Language is a means of communication.,ভাষা হোলো যোগাযোগের একটা মাধ্যম।
Nothing remained in the refrigerator.,ফ্রিজে আর কিছুই অবশিষ্ট রইলো না।
Tell Tom that I'm still in a meeting.,টমকে বলুন যে আমি এখনও মিটিংএ রয়েছি।
The terrorists released the hostages.,আতঙ্কবাদীরা বন্দিদের ছেড়ে দিলো।
There's so much I want to say to you.,তোমাকে আমার অনেক কিছু বলার ইচ্ছে আছে।
Tom came back to Boston last October.,টম গত অক্টোবর বস্টনে ফিরে এসেছে।
Tom has been crying almost every day.,টম প্রায় প্রত্যেক দিন কেঁদেছে।
Tom has been to Boston several times.,টম অনেকবার বস্টন গেছেন।
Tom has been working here since 2013.,টম এখানে ২০১৩ থেকে কাজ করছে।
Tom has come to pick up his children.,টম ওর বাচ্চাদের নিতে এসেছে।
"Tom is tall, but not as tall as I am.","টম লম্বা, কিন্তু আমার মতো লম্বা নয়।"
Tom told me he wants to go to Boston.,টম আমাকে বললো যে সে বস্টন যেতে চায়।
Tom usually goes to bed at ten-forty.,টম সাধারণত দশটা চল্লিশ নাগাদ শুতে যায়।
Tom was arrested for drunken driving.,টম মাতাল অবস্থায় গাড়ি চালাবার জন্য গ্রেফতার হয়েছে।
Translate this sentence into English.,এই বাক্যটি ইংরাজিতে অনুবাদ করুন।
Turn right at the end of that street.,রাস্তাটার শেষে ডানদিকে বেঁকে যাবেন।
What is the total number of students?,মোট ছাত্রের সংখ্যা কত?
What languages are spoken in America?,আমেরিকাতে কোন কোন ভাষায় কথা বলা হয়?
What time does the airport bus leave?,এয়ারপোর্টের বাসটা কটায় ছাড়ে?
What time does the first train leave?,প্রথম ট্রেনটা কটার সময় ছাড়ে?
What time does the train reach Osaka?,ট্রেনটা কটার সময় ওসাকা পৌঁছায়?
When does the train leave for Boston?,বস্টনের ট্রেনটা কখন ছাড়ে?
Your daughter is not a child anymore.,তোমার মেয়ে আর বাচ্চা নেই।
How are you? Did you have a good trip?,কেমন আছেন? যাত্রা ভালো ছিল তো?
How many times do I have to apologize?,আমাকে কতবার ক্ষমা চাইতে হবে?
I don't feel like eating anything now.,আমার এখন কিছুই খেতে ইচ্ছে করছে না।
I don't understand what you're saying.,তুমি কি বলছো আমি বুঝতে পারছি না।
I don't want to talk about it anymore.,আমি এই ব্যাপারে আর কোনো কথা বলতে চাই না।
I know a store where you can buy that.,আমি একটা দোকান চিনি যেখান থেকে তুমি ওইটা কিনতে পারবে।
I once wanted to be an astrophysicist.,আমি একসময় জ্যোতির্বিজ্ঞানী হতে চেয়েছিলাম।
I still haven't found my contact lens.,আমি এখনো আমার কন্ট্যাক্ট লেন্সটি পাইনি।
I told them to send me another ticket.,আমি ওনাদের আর একটা টিকিট পাঠাতে বলেছি।
Is there a nonstop flight to New York?,নিউ ইয়র্কের কোনো একটানা ফ্লাইট আছে?
It rained continuously for three days.,তিন দিন ধরে বৃষ্টি পড়লো।
She has very nice-looking handwriting.,ওনার হাতের লেখা দেখতে খুব সুন্দর।
The two countries negotiated a treaty.,দেশ দুটি নিজেদের মধ্যে একটি চুক্তি সম্পাদিত করলো।
This book is also available in French.,এই বইটা ফরাসিতেও পাওয়া যায়।
This book is only available in French.,এই বইটা শুধু ফরাসিতেই পাওয়া যায়।
Tom lives in a small town near Boston.,টম বস্টনের কাছে একটা ছোট শহরে থাকে।
Turn left at the second traffic light.,দ্বিতীয় ট্রাফিক লাইটে বাঁদিকে বেঁকে যাবেন।
Where is the boarding gate for UA 111?,UA 111 তে ওঠার দরজাটা কোথায়?
Yesterday was my seventeenth birthday.,গতকাল আমার সতেরোতম জন্মদিন ছিলো।
You can stay here as long as you like.,তুমি এখানে যতক্ষণ ইচ্ছে থাকতে পারো।
You may stay here as long as you like.,তুমি এখানে যতক্ষণ ইচ্ছে থাকতে পারো।
You'll need a ticket to travel by bus.,বাসে করে ঘুরতে হলে আপনাকে টিকিট কাটতে হবে।
A lot of people attended Tom's funeral.,টমের অন্ত্যেষ্টিক্রিয়াতে অনেকে অংশগ্রহণ করেছিল।
At what age do you want to get married?,তুমি কত বছর বয়সে বিয়ে করতে চাও?
Australia is rich in natural resources.,অস্ট্রেলিয়া প্রাকৃতিক সম্পদে সমৃদ্ধ।
Class doesn't begin until eight-thirty.,সাড়ে আটটার আগে ক্লাস শুরু হয় না।
How long do you study French every day?,তুমি প্রিতিদিন কত ঘন্টা করে ফরাসি শেখো?
How long has Tom been living in Boston?,টম বস্টনে কত বছর ধরে আছে?
How much does it cost to get to Boston?,বস্টন যাওয়ার জন্য কত খরচা পরবে?
I don't understand what you are saying.,তুমি কি বলছো আমি বুঝতে পারছি না।
I don't want to eat anything right now.,আমি এখন কিছুই খেতে চাই না।
I'd like to check out tomorrow morning.,আমি কাল সকালে ঘরটা ছেরে দিতে চাই।
I've done some things I'm not proud of.,আমি এমন কিছু কাজ করেছি যাতে আমি গর্বিত নই।
It looks like I'm going to arrive late.,দেখে মনে হচ্ছে আমার পৌছাত দেরি হয়ে যাবে।
Names are listed in alphabetical order.,নামগুলি বর্ণানুক্রমে লিপিবদ্ধ করা আছে।
She acknowledged having made a mistake.,উনি যে ভুল করেছিলেন সেটা স্বীকার করলেন।
Their parents tried to keep them apart.,তাদের বাবা-মায়েরা তাদেরকে দূরে রাখতে চেষ্টা করেছিলেন।
Tom shouldn't have spent so much money.,টমের এত টাকা খরচা করা উচিৎ হয়নি।
We'll never be able to play any better.,আমরা কখনই এর থেকে ভালো খেলতে পারবো না।
We're not yet sure what the problem is.,আমারা সমস্যাটার ব্যাপারে এখনো নিশ্চিত হইনি।
Would you like to come fishing with us?,তুমি কি আমাদের সাথে মাছ ধরতে যাবে?
Have you ever heard Tom speaking French?,তুমি কি কখনো টমকে ফরাসিতে কথা বলতে শুনেছো?
He didn't want to talk about it anymore.,উনি আর এই ব্যপারে কোনো কথা বলতে চান না।
How long have you been living in Boston?,তুমি বস্টনে কত বছর ধরে আছো?
I am proud to be a part of this project.,আমি এই প্রকল্পের একটি অংশ হয়ে গর্বিত।
"I can read French, but I can't speak it.","আমি ফরাসি পড়তে পারি, কিন্তু বলতে পারি না।"
I don't know if I'll have time to do it.,আমি জানিনা এটা করার জন্য সময় পাব কি না।
I downloaded the file that Tom uploaded.,টম যে ফাইলটা আপলোড করেছে আমি সেটা ডাউনলোড করলাম।
I found no shoes completely to my taste.,আমি পুরোপুরি আমার পছন্দ মতো কোনো জুতো পেলাম না।
I think it's time you and Tom went home.,আমার মনে হয় তোমার আর টমের বাড়ি যাওয়ার সময় হয়ে গেছে।
I've given up on trying to surprise you.,আমি আপনাকে অবাক করার চেষ্টা ছেড়ে দিয়েছি।
My brother is two years older than I am.,আমার ভাই আমার থেকে দু' বছরের বড়।
The accident occurred yesterday morning.,দুর্ঘটনাটা গতকাল সকালে ঘটেছে।
The servants' screams awakened everyone.,চাকরগুলোর চিৎকার সবাইকে জাগিয়ে দিলো।
This is the shortest way to the station.,এটা কি স্টেশনে যাওয়ার সবথেকে ছোট রাস্তা?
This river flows into the Pacific Ocean.,এই নদীটি প্রশান্ত মহাসাগরে গিয়ে পড়ে।
Tom is watching a movie on his computer.,টম তার কম্পিউটারে চলচ্চিত্র দেখছে।
Tom reads the Washington Post every day.,টম প্রত্যেকদিন ওয়াশিংটন পোষ্ট পরেন।
Tom shouldn't have left the window open.,টমের জানালার দরজাটা খুলে রাখা উচিৎ হয় নি।
Tom stared at Mary from across the room.,ঘরের মধ্যে দিয়ে টম মেরির দিকে চাইল।
"Well, the night is quite long, isn't it?","রাতটা খুব বড়ো, তাই না?"
What do you want to be when you grow up?,তুমি বড়ো হয়ে কী হতে চাও?
What's your favorite television program?,তোমারে প্রিয় টেলিভিশন কার্যক্রমটা কী?
Where is the tourist information office?,পর্যটন অফিসটা কোথায়?
Would you like to come shopping with me?,তোমরা কি আমার সাথে কেনাকাটা করতে যেতে যাবে?
Divorce is becoming more common nowadays.,বিবাহবিচ্ছেদ এখনকার দিনে খুবই সাধারণ হইয়ে গেছে।
He doesn't eat anything other than fruit.,সে ফল ছাড়া অন্য কিছু খায় না।
How can I get to the nearest post office?,সবথেকে কাছের ডাকঘরে কিভাবে যাব?
I would like to be a pilot in the future.,আমি ভবিষ্যতে পাইলট হতে চাই।
I'd like a room facing the ocean instead.,তার বদলে আমার সমুদ্রের দিকে মুখ করা একটা ঘর চাই।
I'd like to reserve a seat on this train.,আমি এই ট্রেনে একটা আসন সংরক্ষণ করতে চাই।
I'll call them tomorrow when I come back.,আমি কাল যখন ফিরবো ওদেরকে একবার কল করবো।
Some of my friends can speak French well.,আমার বন্ধুদের মধ্যে কেউ কেউ ভালো ফরাসি বলতে পারে।
The day after tomorrow is Tom's birthday.,আগামী পরশু টমের জন্মদিন।
The room charge is $100 a night plus tax.,ঘর ভারা ট্যাক্স সহ $১০০।
The room was filled with cigarette smoke.,ঘরটা সিগারেটের ধোঁয়ায় ভর্তি হয়ে গেছিল।
Tom didn't want Mary to wear any jewelry.,মেরি যে কোনো গয়ণা পরে সেটা টম চাইত না।
When were potatoes introduced into Japan?,জাপানে কবে থেকে আলুর প্রবর্তন হয়ছিল?
Why don't you try to get your money back?,তুমি তোমার টাকাটা ফেরত নেওয়ার চেষ্টা করছ না কেন?
"What time is it now? ""It's ten o'clock.""","এখন কটা বাজে? ""দশটা বাজে।"""
Are you just going to stand there all day?,তুমি কি সারাদিন ওইখানেই দাঁড়িয়ে থাকবে?
I arrived at the station ten minutes late.,আমি স্টেশনে দশ মিনিট দেরি করে পৌছেছিলাম।
"I can speak Chinese, but I can't write it.","আমি চাইনিজ বলতে পারি, কিন্তু আমি লিখতে পারি না।"
"I can speak French, but only a little bit.","আমি ফরাসিতে কথা বলতে পারি, কিন্তু খালি একটুখানি।"
I don't think Tom is responsible for that.,আমার মনে হয় না টম এটার জন্য দায়ী।
I need to buy some medicine for my father.,আমি আমার বাবার জন্য কিছু ওষুধ কিনতে চাই।
I think Tom said his last name is Jackson.,আমার মনে হয় টম বলেছিল যে ওর পদবি জ্যাকসন।
I've made that same mistake several times.,আমি সেই একই ভুল বহুবার করেছি।
Is there a public toilet in this building?,এই ইমারতটিতে কি কোনো সর্বজনীন শৌচাগার আছে?
Let me know if there is anything I can do.,আমার কিছু করার থাকলে জানিও।
Mistakes like these are easily overlooked.,এই ধরনের ভুলগুলো খুব সহজেই উপেক্ষা করা হয়।
These two things are completely unrelated.,এই দুটো জিনিস সম্পূর্ণ অসম্পর্কিত।
Tom can't read all these books in one day.,টম একদিনে এতগুলো বই পড়তে পারবে না।
Tom is alone in the dining room with Mary.,টম খাবার ঘরে মেরির সাথে একলা রয়েছে।
Tom is going to be executed in three days.,তিন দিন পরে টমের ফাঁসি হবে।
Tom learned to drive when he was eighteen.,টম যখন আঠারো বছরের ছিলো তখন গাড়ি চালানো শিখেছে।
Tom will never be able to keep up with us.,টম কখোনই আমাদের সাথে পেরে উঠবে না।
What time does the train for Boston leave?,বস্টনের ট্রেনটা কটার সময় ছাড়ে?
Why were you absent from school yesterday?,তুমি কাল বিদ্যালয়ে অনুপস্থিত ছিলে কেন?
"You're going to have to come with us, Tom.","টম, তোমাকে আমাদের সাথে আসতে হবে।"
"Pass me the salt, please. ""Here you are.""","অনুগ্রহ করে নুনটা এগিয়ে দেবেন। ""এই নিন।"""
Are tickets for the concert available here?,সঙ্গীতানুষ্ঠানের জন্য টিকিট কি পাওয়া যাচ্ছে?
Give me a couple of minutes alone with Tom.,আমাকে একলা টমের সঙ্গে দু মিনিট সময় দাও।
Nothing that Tom does surprises me anymore.,টমের কোন কাজ‌ই এখন আমাকে অবাক করে না।
Tom is the only one who doesn't seem happy.,একমাত্র টমকেই খুশি বলে মনে হচ্ছে না।
Tom sat alone on the porch smoking a cigar.,টম একা একা উঠোনে বসে সিগার খাচ্ছিলো।
Tom seems to know quite lot about baseball.,টম বেসবল সম্বন্ধে অনেক কিছু জানে বলে মনে হচ্ছে।
"Tom was standing at the bar, having a beer.",টম বারে দাঁড়িয়ে বিয়ার খাচ্ছিল।
Tom will arrive in Boston tomorrow morning.,টম আগামীকাল সকালে বস্টনে পৌছাবে।
We need to get in touch with Tom's parents.,টমের বাবা মায়ের সঙ্গে আমাদের যোগাযোগ করা দরকার।
What'll you be doing at this time tomorrow?,কাল তুমি এই সময় কি করবে?
You've got to do something about this soon.,আপনাকে খুব তারাতারিই এই ব্যাপারে কিছু একটা করতে হবে।
Don't ask what they think. Ask what they do.,"জিজ্ঞাসা কোর না তারা কি ভাবে, জিজ্ঞাসা করো তারা কি করে।"
"Even if it rains, I'll go swimming tomorrow.",কাল বৃষ্টি হলেও আমি সাঁতার কাটতে যাবো।
Have you ever seen the person in this photo?,তুমি কি এই ছবির মধ্যের লোকটিকে দেখেছো?
How long does it take to get to the station?,স্টেশনে যেতে কতক্ষণ লাগে?
How much does it cost to stay at that hotel?,ওই হোটেলে থাকার জন্য কত খরচ পরবে?
I can't understand what he is trying to say.,আমি বুঝতে পারছি না উনি কি বলতে চাইছেন।
I have a feeling that Tom doesn't like Mary.,আমার মনে হচ্ছে টম মেরিকে পছন্দ করে না।
I only speak French at home with my parents.,আমি বাড়িতে মা বাবার সঙ্গে খালি ফরাসিতে কথা বলি।
I was able to answer the question correctly.,আমি প্রশ্নটার সঠিক উত্তর দিতে পারিনি।
Life without love is just totally pointless.,ভালবাসা ছাড়া জীবন অর্থহীন।
Tom has three sons. All of them are doctors.,টমের তিনটি ছেলে আছে। তাদের সকলেই ডাক্তার।
Tom lied about his age to get into the club.,টম ক্লাবে ঢোকার জন্য নিজের বয়সের ব্যাপারে মিথ্যে কথা বলেছে।
What number bus do I take to get to Waikiki?,ওয়াইকিকি যাওয়ার জন্য কত নম্বর বাস নেব?
What time does the train arrive at Yokohama?,ট্রেনটা কটার সময় ইয়োকোহামা পৌঁছায়?
"You're not going to get away with this, Tom.","টম, তুমি এর থেকে পার পেয়ে যাবে না।"
Are there many Chinese restaurants in Boston?,বস্টনে কি অনেক চিনী রেস্তোরাঁ আছে?
Earthquakes and floods are natural disasters.,ভুমিকম্প আর বন্যা প্রকৃতিক বিপর্যয়।
Football is the most popular sport in Brazil.,ফুটবল হচ্ছে ব্রাজিলের জনপ্রীয়তম খেলা।
How long does it take to walk to the station?,স্টেশন অবধি হেঁটে যেতে কতক্ষণ লাগে?
How much does it cost to eat at such a place?,ওই রকম জায়গায় খেতে গেলে কত খরচ পরবে?
I am going to stay here for a couple of days.,আমি এখানে দু এক দিনের জন্য থাকব।
I am staying at the hotel for the time being.,আপাতত আমি একটা হোটেলে রয়েছি।
I arrived at Narita the day before yesterday.,আমি গত পরশু নারিতায় পৌছেছি।
I can only speak French and a little English.,আমি খালি ফরাসি আর একটু ইংরাজিতে কথা বলতে পারি।
I have to give back the book before Saturday.,আমাকে শনিবারের আগে বইটা ফেরত দিতে হবে।
I'll do my best not to disturb your studying.,তোমার পড়াশুনায় বিরক্ত না করার যথাসাধ্য চেষ্টা করবো।
The bus stop is five minutes' walk from here.,বাস স্টপটা এখান থেকে পাঁচ মিনিটের হাঁটা পথ।
This is the third longest river in the world.,এটা পৃথিবীর তৃতীয় দীর্ঘতম নদী।
Tom is eating breakfast alone in the kitchen.,টম রান্নাঘরে একলা প্রাতরাশ করছে।
Tom saw dirty footprints on the white carpet.,টম কার্পেটের উপর নোংরা পায়ের ছাপ দেখতে পেল।
"Tom was standing at the bar, drinking a beer.",টম বারে দাঁড়িয়ে বিয়ার খাচ্ছিল।
Tom went to the post office to mail a letter.,টম একটা চিঠি ডাকে দেওয়ার জন্য পোস্ট অফিসে গেলো।
"Tom works very hard, but not as hard as Mary.","টম খুব খাটে, কিন্তু মেরির মতো নয়।"
Visit our website for additional information.,অতিরিক্ত তথ্যের জন্য আমাদের ওয়েবসাইটে যান।
What time does the train for New York depart?,নিউ ইয়র্কের ট্রেনটা কটার সময় ছাড়ে?
A lot of English words are derived from Latin.,ইংরাজির অনেক শব্দ লাতিন থেকে উৎপন্ন হয়েছে।
A river separates the city into east and west.,শহরটাকে একটা নদী পুর্ব আর পশ্চিমে ভাগ করেছে।
I don't know if today is Tuesday or Wednesday.,আমি জানিনা আজ মঙ্গলবার না বুধবার।
I feed my cat every morning and every evening.,আমি আমার বেড়ালকে রোজ সকালে আর বিকালে খাবার দিই।
I wouldn't be calling if it weren't important.,দরকারি না হলে আমি ফোন করতাম না।
I'm sure my parents won't let me go by myself.,আমি নিশ্চিত আমার বাবা-মা আমাকে একলা যেতে দেবে না।
It looks like Tom has broken a couple of ribs.,মনে হচ্ছে টমের কয়েকটা পাঁজর ভেঙ্গেছে।
It's not always so easy to do the right thing.,সঠিক জিনিসটা করা সবসময় অত সহজ হয় না।
She doesn't like to leave anything unfinished.,উনি কোন কাজই অসমাপ্ত রাখেন না।
There is no way I'm letting you do this alone.,আমি কোনমতেই এটা তোমাকে একলা করতে দেবো না।
There were few students left in the classroom.,শ্রেণীকক্ষের মধ্যে অল্পসংখ্যক ছাত্র বাকি ছিল।
Tom is a boy's name and Mary is a girl's name.,টম একটা ছেলের নাম আর মেরি একটা মেয়ের নাম।
What is the distance from here to the station?,এখান থেকে স্টেশনের দূরত্ব কতটা?
What time does the next train leave for Tokyo?,টোকিওর জন্য পরের ট্রেনটা কটার সময় ছাড়ে?
"When I got home, I found I had lost my wallet.",যখন বাড়ি ফিরলাম তখন দেখলাম আমি আমার মানিব্যাগটি হারিয়ে ফেলেছি।
You shouldn't have gone into the forest alone.,তোমার একা একা জঙ্গলে যাওয়া উচিত হয় নি।
Can you tell me where I can find a guest house?,আমি একটা গেস্ট হাউস কোথায় পাব বলতে পারবেন?
How long does it take from here to the station?,এখান থেকে স্টেশন যেতে কতক্ষণ লাগে?
How many Christmas cards did you get last year?,তুমি গত বছর কতগুলো খ্রিস্টমাস কার্ড পেয়েছিলে?
I couldn't have done it without you. Thank you.,তোমাকে ছাড়া এটা করতেই পারতাম না। ধন্যবাদ।
